ra,dec,X,Y
"17:57:24.446","+04:36:08.11",1292.5,1651.1667
"17:57:29.108","+04:35:36.49",1354.5,1575
"17:57:32.544","+04:35:31.50",1377,1513
"17:57:34.962","+04:35:11.05",1415.5,1476.5
"17:57:38.111","+04:35:12.71",1427.5,1416.5
"17:57:32.401","+04:34:48.69",1429.5,1528.5
"17:57:30.349","+04:34:25.14",1450.5,1574
"17:57:24.988","+04:34:05.86",1449,1678
"17:57:21.537","+04:33:43.02",1460.5,1748.5
"17:57:34.667","+04:33:19.14",1549.9536,1516.6014
"17:57:31.785","+04:32:49.36",1572.1035,1578.9755
"17:57:29.378","+04:32:08.04",1613.8482,1636.2772
"17:57:51.826","+04:36:24.33",1404.5686,1144.4403
"17:57:49.580","+04:42:24.63",949.9396,1071.7271
"17:57:51.935","+04:42:20.59",966.5458,1029.9069
"17:57:54.496","+04:40:50.21",1088.1639,1012.3470
"17:57:51.951","+04:40:27.62",1104.8391,1062.9849
"17:58:10.833","+04:49:23.07",534.4945,552.3371
"17:58:16.400","+04:50:25.93",481.6455,430.0311
"17:58:21.586","+04:36:10.57",1558.5017,599.9235
"17:57:18.900","+04:45:36.65",572.6328,1575.7567